Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
240,KQ6RC,441.80000,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Leandro",
241,WB6BDD,441.82500,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Concord",
242,K6LRG,441.82500,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Livermore",
243,K6OTR,441.85000,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Palo Alto, Black Mountain",
244,NA6DF,441.85000,+,5.00000,Tone,77.0,88.5,023,NN,FM,5,"Sacramento",
245,KG6KCL,441.85000,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Jose",
246,K6JWN,441.88750,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Dixon",
247,AH6KD,441.88750,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Kensington",
248,N6OA,441.90000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Coalinga, Santa Rita Peak",
249,W6MOW,441.90000,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Hollister",
250,W6CO,441.90000,+,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Napa, Mt St Helena",
251,WA6HHQ,441.92500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Aptos",
252,W6YOP,441.92500,+,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Twain Harte",
253,W6YOP,441.92500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Vacaville",
254,K6YC,441.95000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Sacramento",
255,N6MPX,441.95000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Jose",
256,KK6USZ,441.95000,+,5.00000,Tone,100.0,100.0,023,NN,Auto,5,"Saratoga, Saratoga Heights",
257,WA6BZS,441.97500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Orinda",
258,KE6WDX,441.97500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Springville, Blue Ridge",
259,W6RCA,441.97500,+,5.00000,Tone,94.8,88.5,023,NN,FM,5,"Vacaville",
260,AE6R,442.00000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Eureka, Horse Mountain",
261,WW6HP,442.00000,+,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Palo Alto",
262,N6UG,442.00000,+,5.00000,Tone,179.9,179.9,023,NN,FM,5,"Rocklin",
263,N6BEN,442.02500,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Lemoore",
264,W6KCS,442.02500,+,5.00000,Tone,162.2,88.5,023,NN,FM,5,"Milpitas",
265,N6LEX,442.02500,+,5.00000,Tone,146.2,88.5,023,NN,FM,5,"Salinas",
266,K6SNC,442.02500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Santa Clara",
267,W6KCS,442.02500,+,5.00000,Tone,179.9,88.5,023,NN,FM,5,"Vacaville",
268,WA6OYK,442.05000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Geyserville",
