Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
174,W6EK,145.43000,-,0.60000,Tone,162.2,88.5,023,NN,FM,5,"Auburn",
175,K6WGJ,145.43000,-,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Fresno",
176,WA6RQX,145.43000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Laytonville",
177,KO6PW,145.43000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Livermore",
178,W6MLP,145.43000,-,0.60000,Tone,85.4,88.5,023,NN,FM,5,"Milpitas",
179,N6SPD,145.43000,-,0.60000,Tone,94.8,88.5,023,NN,FM,5,"Salinas,  Mt Toro",
180,N6NIK,145.44000,-,0.60000,Tone,186.2,88.5,023,NN,FM,5,"Escondido, Palomar Mountain",
181,N6USO,145.44000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Pomona, Sunset Ridge",
182,K6BVA,145.44000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Santa Ynez, Santa Ynez Peak",
183,WX6D,145.45000,-,0.60000,,88.5,88.5,23,NN,DIG,5,"Clovis",
184,K6JRB,145.45000,-,0.60000,Tone,203.5,88.5,023,NN,FM,5,"Davis, UC Davis",
185,N6SR,145.45000,-,0.60000,Tone,156.7,88.5,023,NN,FM,5,"Lake Isabella, Sawmill Road",
186,K6FB,145.45000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Los Gatos, Castle Rock",
187,KF6KDD,145.45000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Red Bluff",
188,K6VIS,145.45000,-,0.60000,,88.5,88.5,23,NN,DV,5,"Visalia",
189,K6ERN,145.46000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"Camarillo",
190,K6PIN,145.46000,-,0.60000,Tone,127.3,88.5,023,NN,Auto,5,"Pomona, Sunset Ridge",
191,W6ZZK,145.47000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Eureka",
192,W7POR,145.47000,+,0.60000,Tone,141.3,88.5,023,NN,FM,5,"Fresno",
193,WA6RQX,145.47000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Hopland",
194,WB6TMS,145.47000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Point Reyes Station",
195,K6PLU,145.47000,-,0.60000,Tone,123.0,123.0,023,NN,Auto,5,"Quincy, Mt Hough ",
196,K6JE,145.47000,-,0.60000,Tone,94.8,94.8,023,NN,FM,5,"Salinas, Fremont Pk",
197,W6VVR,145.47000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"Vacaville, Mt Vaca",
198,W6AM,145.48000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Glendale, Mt Lukens",
199,W6DRA,145.48000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Palm Springs, Tram 1",
200,W6JVA,145.48000,-,0.60000,Tone,127.3,88.5,023,NN,FM,5,"San Diego, Paradise Hills",
201,W6RFU,145.48000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Santa Barbara, UCSB - Storke Tower",
202,N6KMR,145.49000,-,0.60000,Tone,100.0,100.0,023,NN,Auto,5,"Alturas, Barnes Grade",
203,KR6DK,145.49000,-,0.60000,Tone,186.2,88.5,023,NN,FM,5,"Bakersfield",
204,KI6ND,145.49000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Chico",
205,WA6HAM,145.49000,-,0.60000,Tone,107.2,88.5,023,NN,FM,5,"Orinda, Bald Peak",
